mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,impugnaciones,observaciones,centro,departamento,municipio,tipo
6897,,"{'CABAL': 4, 'AZUL': 11, 'VALOR': 55, 'TODOS': 8, 'UNE': 17, 'PODEMOS': 35, 'PIN': 1, 'VAMOS': 22, 'MLP': 1, 'P A N': 0, 'PHG': 2, 'BIEN': 10, 'URNG-MAIZ WINAQ': 2, 'CREO': 4, 'MI FAMILIA': 6, 'FCN-NACION': 0, 'CAMBIO': 13, 'UR': 1}",55,49,296,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,parlacen
6898,,"{'CABAL': 2, 'AZUL': 14, 'VALOR': 43, 'TODOS': 9, 'UNE': 20, 'PODEMOS': 48, 'PIN': 2, 'VAMOS': 27, 'MLP': 0, 'P A N': 1, 'PHG': 2, 'BIEN': 9, 'URNG-MAIZ WINAQ': 2, 'CREO': 4, 'MI FAMILIA': 16, 'FCN-NACION': 2, 'CAMBIO': 7, 'UR': 0}",47,51,306,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,parlacen
6899,,"{'CABAL': 5, 'AZUL': 14, 'VALOR': 44, 'TODOS': 7, 'UNE': 22, 'PODEMOS': 44, 'PIN': 3, 'VAMOS': 23, 'MLP': 0, 'P A N': 2, 'PHG': 2, 'BIEN': 8, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'MI FAMILIA': 13, 'FCN-NACION': 2, 'CAMBIO': 6, 'UR': 0}",50,40,292,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,parlacen
6900,,"{'CABAL': 4, 'AZUL': 17, 'VALOR': 57, 'TODOS': 9, 'UNE': 39, 'PODEMOS': 52, 'PIN': 0, 'VAMOS': 14, 'MLP': 1, 'P A N': 0, 'PHG': 1, 'BIEN': 6, 'URNG-MAIZ WINAQ': 3, 'CREO': 4, 'MI FAMILIA': 11, 'FCN-NACION': 3, 'CAMBIO': 6, 'UR': 1}",41,44,313,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,parlacen
6901,,"{'CABAL': 5, 'AZUL': 18, 'VALOR': 40, 'TODOS': 9, 'UNE': 21, 'PODEMOS': 68, 'PIN': 0, 'VAMOS': 16, 'MLP': 0, 'P A N': 1, 'PHG': 1, 'BIEN': 12, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'MI FAMILIA': 12, 'FCN-NACION': 2, 'CAMBIO': 4, 'UR': 2}",36,42,295,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,parlacen
6902,,"{'CABAL': 3, 'AZUL': 17, 'VALOR': 45, 'TODOS': 12, 'UNE': 16, 'PODEMOS': 48, 'PIN': 1, 'VAMOS': 14, 'MLP': 0, 'P A N': 4, 'PHG': 3, 'BIEN': 7, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'MI FAMILIA': 12, 'FCN-NACION': 1, 'CAMBIO': 8, 'UR': 1}",34,35,265,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,parlacen
6903,,"{'CABAL': 7, 'AZUL': 12, 'VALOR': 47, 'TODOS': 6, 'UNE': 11, 'PODEMOS': 50, 'PIN': 0, 'VAMOS': 24, 'MLP': 0, 'P A N': 1, 'PHG': 3, 'BIEN': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'MI FAMILIA': 8, 'FCN-NACION': 3, 'CAMBIO': 7, 'UR': 2}",40,39,268,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,parlacen
6904,,"{'CABAL': 4, 'AZUL': 23, 'VALOR': 44, 'TODOS': 9, 'UNE': 20, 'PODEMOS': 52, 'PIN': 2, 'VAMOS': 19, 'MLP': 2, 'P A N': 2, 'PHG': 4, 'BIEN': 3, 'URNG-MAIZ WINAQ': 4, 'CREO': 4, 'MI FAMILIA': 10, 'FCN-NACION': 1, 'CAMBIO': 5, 'UR': 0}",43,42,293,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,parlacen
6905,,"{'CABAL': 3, 'AZUL': 16, 'VALOR': 46, 'TODOS': 6, 'UNE': 17, 'PODEMOS': 49, 'PIN': 1, 'VAMOS': 27, 'MLP': 1, 'P A N': 1, 'PHG': 3, 'BIEN': 7, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'MI FAMILIA': 6, 'FCN-NACION': 0, 'CAMBIO': 8, 'UR': 1}",40,44,281,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,parlacen
6906,,"{'CABAL': 5, 'AZUL': 21, 'VALOR': 44, 'TODOS': 5, 'UNE': 14, 'PODEMOS': 47, 'PIN': 0, 'VAMOS': 29, 'MLP': 4, 'P A N': 1, 'PHG': 2, 'BIEN': 11, 'URNG-MAIZ WINAQ': 5, 'CREO': 4, 'MI FAMILIA': 7, 'FCN-NACION': 1, 'CAMBIO': 8, 'UR': 1}",47,35,291,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,parlacen
6907,,"{'CABAL': 1, 'AZUL': 12, 'VALOR': 40, 'TODOS': 6, 'UNE': 17, 'PODEMOS': 53, 'PIN': 4, 'VAMOS': 25, 'MLP': 1, 'P A N': 1, 'PHG': 1, 'BIEN': 7, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'MI FAMILIA': 13, 'FCN-NACION': 1, 'CAMBIO': 4, 'UR': 0}",48,28,265,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,parlacen
6908,,"{'CABAL': 7, 'AZUL': 26, 'VALOR': 46, 'TODOS': 8, 'UNE': 19, 'PODEMOS': 53, 'PIN': 1, 'VAMOS': 13, 'MLP': 2, 'P A N': 2, 'PHG': 2, 'BIEN': 5, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'MI FAMILIA': 5, 'FCN-NACION': 3, 'CAMBIO': 6, 'UR': 1}",29,35,270,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,parlacen
6909,,"{'CABAL': 5, 'AZUL': 19, 'VALOR': 52, 'TODOS': 3, 'UNE': 9, 'PODEMOS': 63, 'PIN': 0, 'VAMOS': 21, 'MLP': 1, 'P A N': 1, 'PHG': 1, 'BIEN': 10, 'URNG-MAIZ WINAQ': 7, 'CREO': 2, 'MI FAMILIA': 12, 'FCN-NACION': 1, 'CAMBIO': 10, 'UR': 0}",19,28,264,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,parlacen
6910,,"{'CABAL': 6, 'AZUL': 30, 'VALOR': 51, 'TODOS': 9, 'UNE': 13, 'PODEMOS': 70, 'PIN': 3, 'VAMOS': 21, 'MLP': 4, 'P A N': 1, 'PHG': 2, 'BIEN': 4, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'MI FAMILIA': 11, 'FCN-NACION': 2, 'CAMBIO': 13, 'UR': 1}",26,13,285,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,parlacen
6911,,"{'CABAL': 1, 'AZUL': 13, 'VALOR': 29, 'TODOS': 2, 'UNE': 10, 'PODEMOS': 28, 'PIN': 1, 'VAMOS': 15, 'MLP': 0, 'P A N': 0, 'PHG': 1, 'BIEN': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'MI FAMILIA': 3, 'FCN-NACION': 0, 'CAMBIO': 8, 'UR': 1}",17,14,147,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,parlacen
