mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
13004,,"{'UNE': 46, 'AZUL': 1, 'VALOR UNIONISTA': 15, 'CABAL': 7, 'TODOS': 1, 'VAMOS': 41, 'PHG': 1, 'PR': 2, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 2, 'VIVA': 38, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 8}",24,40,243,0,Algún campo sin dato,11.Retalhuleu,8.Nuevo San Carlos,1777,presidente
13005,,"{'UNE': 36, 'AZUL': 0, 'VALOR UNIONISTA': 22, 'CABAL': 15, 'TODOS': 2, 'VAMOS': 30, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 9, 'FCN-NACION': 3, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 9, 'VIVA': 37, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 3}",28,47,253,0,Algún campo sin dato,11.Retalhuleu,8.Nuevo San Carlos,1777,presidente
13006,,"{'UNE': 40, 'AZUL': 2, 'VALOR UNIONISTA': 17, 'CABAL': 10, 'TODOS': 2, 'VAMOS': 35, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 11, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 16, 'VIVA': 23, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",36,41,245,0,Algún campo sin dato,11.Retalhuleu,8.Nuevo San Carlos,1777,presidente
13007,,"{'UNE': 45, 'AZUL': 2, 'VALOR UNIONISTA': 16, 'CABAL': 8, 'TODOS': 1, 'VAMOS': 29, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 10, 'VIVA': 38, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",22,47,245,0,Algún campo sin dato,11.Retalhuleu,8.Nuevo San Carlos,1777,presidente
13008,,"{'UNE': 56, 'AZUL': 2, 'VALOR UNIONISTA': 18, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 36, 'PHG': 1, 'PR': 4, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 8, 'VIVA': 40, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 9}",28,42,277,0,Algún campo sin dato,11.Retalhuleu,8.Nuevo San Carlos,1777,presidente
13009,,"{'UNE': 60, 'AZUL': 0, 'VALOR UNIONISTA': 28, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 30, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 0, 'UR': 6, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 12, 'VIVA': 23, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 6}",18,37,252,0,Algún campo sin dato,11.Retalhuleu,8.Nuevo San Carlos,1777,presidente
13010,,"{'UNE': 45, 'AZUL': 0, 'VALOR UNIONISTA': 16, 'CABAL': 10, 'TODOS': 0, 'VAMOS': 39, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 21, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 7, 'VIVA': 21, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",15,31,219,0,Algún campo sin dato,11.Retalhuleu,8.Nuevo San Carlos,1777,presidente
13011,,"{'UNE': 39, 'AZUL': 0, 'VALOR UNIONISTA': 10, 'CABAL': 13, 'TODOS': 0, 'VAMOS': 27, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 19, 'FCN-NACION': 1, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 7, 'VIVA': 25, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",17,32,207,0,Algún campo sin dato,11.Retalhuleu,8.Nuevo San Carlos,1777,presidente
13012,,"{'UNE': 41, 'AZUL': 2, 'VALOR UNIONISTA': 16, 'CABAL': 5, 'TODOS': 0, 'VAMOS': 47, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 29, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 5, 'VIVA': 22, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",7,29,217,0,Algún campo sin dato,11.Retalhuleu,8.Nuevo San Carlos,1777,presidente
13013,,"{'UNE': 35, 'AZUL': 0, 'VALOR UNIONISTA': 12, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 24, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 35, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 6, 'VIVA': 22, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 11}",2,22,181,0,Algún campo sin dato,11.Retalhuleu,8.Nuevo San Carlos,1777,presidente
13014,,"{'UNE': 24, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 5, 'TODOS': 0, 'VAMOS': 32, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 5, 'VIVA': 17, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",2,11,125,0,Algún campo sin dato,11.Retalhuleu,8.Nuevo San Carlos,1777,presidente
13015,,"{'UNE': 23, 'AZUL': 0, 'VALOR UNIONISTA': 9, 'CABAL': 5, 'TODOS': 0, 'VAMOS': 17, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 10, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 8, 'VIVA': 17, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",6,15,115,0,Algún campo sin dato,11.Retalhuleu,8.Nuevo San Carlos,1777,presidente
13016,,"{'UNE': 93, 'AZUL': 1, 'VALOR UNIONISTA': 12, 'CABAL': 7, 'TODOS': 1, 'VAMOS': 21, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 12, 'VIVA': 28, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",40,28,264,0,Algún campo sin dato,11.Retalhuleu,8.Nuevo San Carlos,1778,presidente
13017,,"{'UNE': 76, 'AZUL': 1, 'VALOR UNIONISTA': 13, 'CABAL': 8, 'TODOS': 1, 'VAMOS': 31, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 9, 'VIVA': 17, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 1}",42,33,256,0,Algún campo sin dato,11.Retalhuleu,8.Nuevo San Carlos,1778,presidente
13018,,"{'UNE': 135, 'AZUL': 0, 'VALOR UNIONISTA': 14, 'CABAL': 4, 'TODOS': 1, 'VAMOS': 23, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 7, 'VIVA': 32, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 0}",25,35,292,0,Algún campo sin dato,11.Retalhuleu,8.Nuevo San Carlos,1778,presidente
13019,,"{'UNE': 90, 'AZUL': 0, 'VALOR UNIONISTA': 12, 'CABAL': 2, 'TODOS': 2, 'VAMOS': 44, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 7, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 11, 'VIVA': 36, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",28,42,289,0,Algún campo sin dato,11.Retalhuleu,8.Nuevo San Carlos,1778,presidente
13020,,"{'UNE': 111, 'AZUL': 2, 'VALOR UNIONISTA': 20, 'CABAL': 5, 'TODOS': 0, 'VAMOS': 19, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 11, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 9, 'VIVA': 23, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",25,33,265,0,Algún campo sin dato,11.Retalhuleu,8.Nuevo San Carlos,1778,presidente
