mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
8671,,"{'UNE': 50, 'AZUL': 3, 'VALOR UNIONISTA': 18, 'CABAL': 13, 'TODOS': 0, 'VAMOS': 26, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 29, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 9, 'VIVA': 14, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",13,79,275,0,Algún campo sin dato,6.Santa Rosa,8.Chiquimulilla,1038,presidente
8672,,"{'UNE': 37, 'AZUL': 1, 'VALOR UNIONISTA': 15, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 22, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 42, 'FCN-NACION': 0, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 8, 'VIVA': 17, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 17}",6,87,269,0,Algún campo sin dato,6.Santa Rosa,8.Chiquimulilla,1038,presidente
8673,,"{'UNE': 32, 'AZUL': 1, 'VALOR UNIONISTA': 20, 'CABAL': 10, 'TODOS': 1, 'VAMOS': 18, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 46, 'FCN-NACION': 0, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 4, 'BIEN': 8, 'VIVA': 18, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 14}",3,58,243,0,Algún campo sin dato,6.Santa Rosa,8.Chiquimulilla,1038,presidente
8674,,"{'UNE': 35, 'AZUL': 1, 'VALOR UNIONISTA': 11, 'CABAL': 14, 'TODOS': 2, 'VAMOS': 17, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 31, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 11, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 10}",4,69,221,0,Algún campo sin dato,6.Santa Rosa,8.Chiquimulilla,1038,presidente
8675,,"{'UNE': 29, 'AZUL': 0, 'VALOR UNIONISTA': 12, 'CABAL': 8, 'TODOS': 0, 'VAMOS': 21, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 46, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 9, 'VIVA': 16, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",3,61,216,0,Algún campo sin dato,6.Santa Rosa,8.Chiquimulilla,1038,presidente
8676,,"{'UNE': 32, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 13, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 64, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 6, 'VIVA': 14, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 6}",1,50,204,0,Algún campo sin dato,6.Santa Rosa,8.Chiquimulilla,1038,presidente
8677,,"{'UNE': 63, 'AZUL': 3, 'VALOR UNIONISTA': 20, 'CABAL': 5, 'TODOS': 0, 'VAMOS': 26, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 32, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 7, 'VIVA': 20, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 11}",8,93,302,0,Algún campo sin dato,6.Santa Rosa,8.Chiquimulilla,1039,presidente
8678,,"{'UNE': 75, 'AZUL': 2, 'VALOR UNIONISTA': 23, 'CABAL': 8, 'TODOS': 1, 'VAMOS': 29, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 31, 'FCN-NACION': 2, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 6, 'VIVA': 10, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 14}",9,83,308,0,Algún campo sin dato,6.Santa Rosa,8.Chiquimulilla,1039,presidente
8679,,"{'UNE': 60, 'AZUL': 2, 'VALOR UNIONISTA': 24, 'CABAL': 6, 'TODOS': 1, 'VAMOS': 20, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 31, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 4, 'VIVA': 13, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 15}",11,107,306,0,Algún campo sin dato,6.Santa Rosa,8.Chiquimulilla,1039,presidente
8680,,"{'UNE': 51, 'AZUL': 0, 'VALOR UNIONISTA': 16, 'CABAL': 13, 'TODOS': 0, 'VAMOS': 21, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 38, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 8, 'VIVA': 19, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 14}",10,81,280,0,Algún campo sin dato,6.Santa Rosa,8.Chiquimulilla,1039,presidente
8681,,"{'UNE': 77, 'AZUL': 3, 'VALOR UNIONISTA': 13, 'CABAL': 5, 'TODOS': 0, 'VAMOS': 15, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 26, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 6, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 10}",9,74,255,0,Algún campo sin dato,6.Santa Rosa,8.Chiquimulilla,1039,presidente
8682,,"{'UNE': 66, 'AZUL': 1, 'VALOR UNIONISTA': 21, 'CABAL': 5, 'TODOS': 0, 'VAMOS': 18, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 47, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 8, 'VIVA': 15, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 15}",4,77,289,1,Algún campo sin dato,6.Santa Rosa,8.Chiquimulilla,1039,presidente
8683,,"{'UNE': 58, 'AZUL': 0, 'VALOR UNIONISTA': 16, 'CABAL': 13, 'TODOS': 1, 'VAMOS': 19, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 41, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 9, 'VIVA': 11, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 5}",10,74,271,0,Algún campo sin dato,6.Santa Rosa,8.Chiquimulilla,1039,presidente
8684,,"{'UNE': 72, 'AZUL': 1, 'VALOR UNIONISTA': 15, 'CABAL': 4, 'TODOS': 0, 'VAMOS': 28, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 38, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 4, 'VIVA': 7, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 9}",12,66,269,0,Algún campo sin dato,6.Santa Rosa,8.Chiquimulilla,1039,presidente
8685,,"{'UNE': 65, 'AZUL': 0, 'VALOR UNIONISTA': 10, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 20, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 69, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 8, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",5,50,262,0,Algún campo sin dato,6.Santa Rosa,8.Chiquimulilla,1039,presidente
8686,,"{'UNE': 54, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 4, 'TODOS': 0, 'VAMOS': 20, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 87, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 5, 'VIVA': 16, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 12}",2,52,263,0,Algún campo sin dato,6.Santa Rosa,8.Chiquimulilla,1039,presidente
8687,,"{'UNE': 37, 'AZUL': 4, 'VALOR UNIONISTA': 15, 'CABAL': 8, 'TODOS': 0, 'VAMOS': 15, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 41, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 5, 'VIVA': 15, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",7,50,207,0,Algún campo sin dato,6.Santa Rosa,8.Chiquimulilla,1039,presidente
8688,,"{'UNE': 97, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 5, 'TODOS': 1, 'VAMOS': 23, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 11, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 1, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",10,44,213,10,Algún campo sin dato,6.Santa Rosa,8.Chiquimulilla,1040,presidente
