mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
13448,,"{'UNE': 31, 'AZUL': 4, 'VALOR UNIONISTA': 2, 'CABAL': 4, 'TODOS': 25, 'VAMOS': 1, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 84, 'BIEN': 33, 'VIVA': 28, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 10}",36,42,314,0,Algún campo sin dato,12.San Marcos,5.San Miguel Ixtahuacán,1854,presidente
13449,,"{'UNE': 22, 'AZUL': 10, 'VALOR UNIONISTA': 2, 'CABAL': 2, 'TODOS': 38, 'VAMOS': 4, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 65, 'BIEN': 31, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 13}",35,65,314,0,Algún campo sin dato,12.San Marcos,5.San Miguel Ixtahuacán,1854,presidente
13450,,"{'UNE': 30, 'AZUL': 4, 'VALOR UNIONISTA': 3, 'CABAL': 5, 'TODOS': 24, 'VAMOS': 3, 'PHG': 1, 'PR': 2, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 73, 'BIEN': 31, 'VIVA': 22, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 10}",38,59,317,0,Algún campo sin dato,12.San Marcos,5.San Miguel Ixtahuacán,1854,presidente
13451,,"{'UNE': 31, 'AZUL': 7, 'VALOR UNIONISTA': 3, 'CABAL': 2, 'TODOS': 10, 'VAMOS': 2, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 62, 'BIEN': 71, 'VIVA': 25, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 20}",22,41,317,0,Algún campo sin dato,12.San Marcos,5.San Miguel Ixtahuacán,1854,presidente
13452,,"{'UNE': 25, 'AZUL': 4, 'VALOR UNIONISTA': 6, 'CABAL': 1, 'TODOS': 29, 'VAMOS': 3, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 6, 'FCN-NACION': 3, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 11, 'CREO': 71, 'BIEN': 53, 'VIVA': 20, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",37,39,317,0,Algún campo sin dato,12.San Marcos,5.San Miguel Ixtahuacán,1854,presidente
13453,,"{'UNE': 31, 'AZUL': 3, 'VALOR UNIONISTA': 5, 'CABAL': 2, 'TODOS': 19, 'VAMOS': 0, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 0, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 64, 'BIEN': 53, 'VIVA': 19, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",21,40,269,0,Sumas Asentadas sin cuadrar,12.San Marcos,5.San Miguel Ixtahuacán,1854,presidente
13454,,"{'UNE': 12, 'AZUL': 3, 'VALOR UNIONISTA': 2, 'CABAL': 2, 'TODOS': 15, 'VAMOS': 2, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 66, 'BIEN': 41, 'VIVA': 29, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",20,40,253,0,Algún campo sin dato,12.San Marcos,5.San Miguel Ixtahuacán,1854,presidente
13455,,"{'UNE': 21, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 1, 'TODOS': 10, 'VAMOS': 0, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 81, 'BIEN': 49, 'VIVA': 29, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",33,32,272,0,Algún campo sin dato,12.San Marcos,5.San Miguel Ixtahuacán,1854,presidente
13456,,"{'UNE': 20, 'AZUL': 2, 'VALOR UNIONISTA': 0, 'CABAL': 0, 'TODOS': 17, 'VAMOS': 1, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 15, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 60, 'BIEN': 41, 'VIVA': 31, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 9}",20,49,272,0,Algún campo sin dato,12.San Marcos,5.San Miguel Ixtahuacán,1854,presidente
13457,,"{'UNE': 23, 'AZUL': 4, 'VALOR UNIONISTA': 1, 'CABAL': 2, 'TODOS': 20, 'VAMOS': 2, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 82, 'BIEN': 35, 'VIVA': 13, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 5}",23,44,266,0,,12.San Marcos,5.San Miguel Ixtahuacán,1855,presidente
13458,,"{'UNE': 22, 'AZUL': 3, 'VALOR UNIONISTA': 4, 'CABAL': 0, 'TODOS': 23, 'VAMOS': 0, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 9, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 8, 'CREO': 53, 'BIEN': 43, 'VIVA': 25, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 5}",19,48,271,0,,12.San Marcos,5.San Miguel Ixtahuacán,1855,presidente
13459,,"{'UNE': 23, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 2, 'TODOS': 23, 'VAMOS': 1, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 55, 'BIEN': 31, 'VIVA': 18, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",10,40,230,0,Algún campo sin dato,12.San Marcos,5.San Miguel Ixtahuacán,1855,presidente
13460,,"{'UNE': 15, 'AZUL': 3, 'VALOR UNIONISTA': 1, 'CABAL': 5, 'TODOS': 11, 'VAMOS': 1, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 24, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 33, 'BIEN': 37, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 9}",21,56,235,0,Sumas Asentadas sin cuadrar,12.San Marcos,5.San Miguel Ixtahuacán,1856,presidente
13461,,"{'UNE': 22, 'AZUL': 2, 'VALOR UNIONISTA': 0, 'CABAL': 2, 'TODOS': 18, 'VAMOS': 1, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 15, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 46, 'BIEN': 26, 'VIVA': 32, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",15,37,227,0,Algún campo sin dato,12.San Marcos,5.San Miguel Ixtahuacán,1856,presidente
13462,,"{'UNE': 17, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 1, 'TODOS': 5, 'VAMOS': 1, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 35, 'BIEN': 31, 'VIVA': 24, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 2}",6,24,170,0,Algún campo sin dato,12.San Marcos,5.San Miguel Ixtahuacán,1857,presidente
13463,,"{'UNE': 9, 'AZUL': 1, 'VALOR UNIONISTA': 0, 'CABAL': 1, 'TODOS': 9, 'VAMOS': 0, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 32, 'BIEN': 16, 'VIVA': 20, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",10,20,131,9,Algún campo sin dato,12.San Marcos,5.San Miguel Ixtahuacán,1857,presidente
13464,,"{'UNE': 29, 'AZUL': 3, 'VALOR UNIONISTA': 2, 'CABAL': 2, 'TODOS': 15, 'VAMOS': 0, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 2, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 13, 'CREO': 65, 'BIEN': 14, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",40,57,256,0,Algún campo sin dato,12.San Marcos,5.San Miguel Ixtahuacán,1858,presidente
