mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
8981,,"{'UNE': 23, 'AZUL': 1, 'VALOR UNIONISTA': 17, 'CABAL': 41, 'TODOS': 2, 'VAMOS': 11, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 40, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 6, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 10}",14,68,256,0,Algún campo sin dato,6.Santa Rosa,14.Nueva Santa Rosa,1093,presidente
8982,,"{'UNE': 22, 'AZUL': 2, 'VALOR UNIONISTA': 15, 'CABAL': 50, 'TODOS': 1, 'VAMOS': 8, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 25, 'FCN-NACION': 0, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 6, 'VIVA': 9, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 9}",14,68,247,0,Algún campo sin dato,6.Santa Rosa,14.Nueva Santa Rosa,1093,presidente
8983,,"{'UNE': 22, 'AZUL': 0, 'VALOR UNIONISTA': 14, 'CABAL': 41, 'TODOS': 1, 'VAMOS': 11, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 30, 'FCN-NACION': 2, 'PPN': 2, 'UR': 5, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 10, 'VIVA': 5, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 7}",9,76,250,0,Algún campo sin dato,6.Santa Rosa,14.Nueva Santa Rosa,1093,presidente
8984,,"{'UNE': 17, 'AZUL': 3, 'VALOR UNIONISTA': 14, 'CABAL': 50, 'TODOS': 2, 'VAMOS': 7, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 46, 'FCN-NACION': 1, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 3, 'VIVA': 3, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 14}",5,70,244,0,Algún campo sin dato,6.Santa Rosa,14.Nueva Santa Rosa,1093,presidente
8985,,"{'UNE': 12, 'AZUL': 2, 'VALOR UNIONISTA': 4, 'CABAL': 31, 'TODOS': 2, 'VAMOS': 3, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 53, 'FCN-NACION': 0, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 11, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 16}",9,62,225,0,Algún campo sin dato,6.Santa Rosa,14.Nueva Santa Rosa,1093,presidente
8986,,"{'UNE': 14, 'AZUL': 4, 'VALOR UNIONISTA': 12, 'CABAL': 28, 'TODOS': 1, 'VAMOS': 9, 'PHG': 0, 'PR': 0, 'PIN': 2, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 54, 'FCN-NACION': 0, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 9, 'VIVA': 5, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 9}",7,66,228,0,Algún campo sin dato,6.Santa Rosa,14.Nueva Santa Rosa,1093,presidente
8987,,"{'UNE': 17, 'AZUL': 5, 'VALOR UNIONISTA': 13, 'CABAL': 32, 'TODOS': 1, 'VAMOS': 7, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 39, 'FCN-NACION': 2, 'PPN': 4, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 18, 'VIVA': 4, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 8}",8,55,222,0,Algún campo sin dato,6.Santa Rosa,14.Nueva Santa Rosa,1093,presidente
8988,,"{'UNE': 10, 'AZUL': 3, 'VALOR UNIONISTA': 11, 'CABAL': 35, 'TODOS': 0, 'VAMOS': 4, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 92, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 12, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 9}",1,40,224,0,Algún campo sin dato,6.Santa Rosa,14.Nueva Santa Rosa,1093,presidente
8989,,"{'UNE': 7, 'AZUL': 2, 'VALOR UNIONISTA': 2, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 6, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 61, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 11, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",91,27,226,0,Algún campo sin dato,6.Santa Rosa,14.Nueva Santa Rosa,1093,presidente
8990,,"{'UNE': 6, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 17, 'TODOS': 0, 'VAMOS': 3, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 21, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 1, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",1,14,75,0,Algún campo sin dato,6.Santa Rosa,14.Nueva Santa Rosa,1093,presidente
8991,,"{'UNE': 30, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 56, 'TODOS': 1, 'VAMOS': 6, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 2, 'VIVA': 3, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 4}",16,50,196,0,Algún campo sin dato,6.Santa Rosa,14.Nueva Santa Rosa,1094,presidente
8992,,"{'UNE': 32, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 58, 'TODOS': 4, 'VAMOS': 8, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 11, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 4, 'VIVA': 1, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",19,59,216,0,Algún campo sin dato,6.Santa Rosa,14.Nueva Santa Rosa,1094,presidente
8993,,"{'UNE': 34, 'AZUL': 3, 'VALOR UNIONISTA': 9, 'CABAL': 67, 'TODOS': 1, 'VAMOS': 8, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 1, 'SEMILLA': 14, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 5, 'VIVA': 1, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",19,66,239,0,Algún campo sin dato,6.Santa Rosa,14.Nueva Santa Rosa,1094,presidente
8994,,"{'UNE': 23, 'AZUL': 0, 'VALOR UNIONISTA': 11, 'CABAL': 68, 'TODOS': 2, 'VAMOS': 7, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 6, 'VIVA': 0, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 3}",17,39,205,0,Sumas Asentadas sin cuadrar,6.Santa Rosa,14.Nueva Santa Rosa,1094,presidente
