mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
12335,,"{'UNE': 63, 'AZUL': 2, 'VALOR UNIONISTA': 5, 'CABAL': 13, 'TODOS': 0, 'VAMOS': 24, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 16, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 4, 'BIEN': 1, 'VIVA': 21, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 20}",16,56,253,0,Sumas Asentadas sin cuadrar,10.Suchitepéquez,14.Patulul,1676,presidente
12336,,"{'UNE': 56, 'AZUL': 3, 'VALOR UNIONISTA': 10, 'CABAL': 13, 'TODOS': 2, 'VAMOS': 23, 'PHG': 0, 'PR': 2, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 31, 'FCN-NACION': 2, 'PPN': 7, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 7, 'VIVA': 38, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 21}",9,49,284,0,Algún campo sin dato,10.Suchitepéquez,14.Patulul,1676,presidente
12337,,"{'UNE': 47, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 17, 'TODOS': 3, 'VAMOS': 19, 'PHG': 1, 'PR': 5, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 10, 'SEMILLA': 17, 'FCN-NACION': 1, 'PPN': 4, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 4, 'VIVA': 37, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 28}",16,62,292,0,Algún campo sin dato,10.Suchitepéquez,14.Patulul,1676,presidente
12338,,"{'UNE': 44, 'AZUL': 1, 'VALOR UNIONISTA': 12, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 30, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 8, 'SEMILLA': 19, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 5, 'VIVA': 49, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 35}",8,61,300,0,Algún campo sin dato,10.Suchitepéquez,14.Patulul,1677,presidente
12339,,"{'UNE': 49, 'AZUL': 2, 'VALOR UNIONISTA': 9, 'CABAL': 16, 'TODOS': 1, 'VAMOS': 17, 'PHG': 1, 'PR': 5, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 22, 'FCN-NACION': 1, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 7, 'VIVA': 61, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 26}",18,64,307,0,Algún campo sin dato,10.Suchitepéquez,14.Patulul,1677,presidente
12340,,"{'UNE': 37, 'AZUL': 2, 'VALOR UNIONISTA': 11, 'CABAL': 15, 'TODOS': 3, 'VAMOS': 24, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 35, 'FCN-NACION': 2, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 5, 'VIVA': 36, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 31}",7,67,290,0,Algún campo sin dato,10.Suchitepéquez,14.Patulul,1677,presidente
12341,,"{'UNE': 41, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 10, 'TODOS': 0, 'VAMOS': 18, 'PHG': 0, 'PR': 5, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 9, 'SEMILLA': 34, 'FCN-NACION': 1, 'PPN': 6, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 3, 'BIEN': 4, 'VIVA': 36, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 26}",7,59,274,0,Algún campo sin dato,10.Suchitepéquez,14.Patulul,1677,presidente
12342,,"{'UNE': 45, 'AZUL': 1, 'VALOR UNIONISTA': 12, 'CABAL': 13, 'TODOS': 0, 'VAMOS': 18, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 33, 'FCN-NACION': 0, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 7, 'VIVA': 40, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 24}",4,56,272,0,Algún campo sin dato,10.Suchitepéquez,14.Patulul,1677,presidente
12343,,"{'UNE': 51, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 15, 'TODOS': 4, 'VAMOS': 13, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 26, 'FCN-NACION': 0, 'PPN': 4, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 4, 'VIVA': 46, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 18}",11,44,260,0,Algún campo sin dato,10.Suchitepéquez,14.Patulul,1678,presidente
12344,,"{'UNE': 58, 'AZUL': 1, 'VALOR UNIONISTA': 21, 'CABAL': 24, 'TODOS': 0, 'VAMOS': 24, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 25, 'FCN-NACION': 1, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 1, 'VIVA': 35, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 27}",10,41,282,0,Algún campo sin dato,10.Suchitepéquez,14.Patulul,1678,presidente
12345,,"{'UNE': 30, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 13, 'TODOS': 1, 'VAMOS': 21, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 36, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 3, 'VIVA': 45, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 27}",10,55,262,0,Algún campo sin dato,10.Suchitepéquez,14.Patulul,1678,presidente
