mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
15492,,"{'UNE': 60, 'AZUL': 7, 'VALOR UNIONISTA': 3, 'CABAL': 12, 'TODOS': 9, 'VAMOS': 27, 'PHG': 5, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 3, 'SEMILLA': 12, 'FCN-NACION': 2, 'PPN': 4, 'UR': 2, 'URNG-MAIZ WINAQ': 15, 'CREO': 2, 'BIEN': 22, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 2}",28,60,294,0,Algún campo sin dato,13.Huehuetenango,9.Ixtahuacán,2254,presidente
15493,,"{'UNE': 64, 'AZUL': 3, 'VALOR UNIONISTA': 8, 'CABAL': 16, 'TODOS': 11, 'VAMOS': 21, 'PHG': 4, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 6, 'UR': 4, 'URNG-MAIZ WINAQ': 19, 'CREO': 1, 'BIEN': 24, 'VIVA': 15, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",30,82,327,0,Algún campo sin dato,13.Huehuetenango,9.Ixtahuacán,2254,presidente
15494,,"{'UNE': 49, 'AZUL': 2, 'VALOR UNIONISTA': 2, 'CABAL': 15, 'TODOS': 6, 'VAMOS': 11, 'PHG': 4, 'PR': 2, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 13, 'FCN-NACION': 3, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 23, 'CREO': 3, 'BIEN': 25, 'VIVA': 10, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 4}",24,65,271,0,Algún campo sin dato,13.Huehuetenango,9.Ixtahuacán,2254,presidente
15495,,"{'UNE': 61, 'AZUL': 5, 'VALOR UNIONISTA': 5, 'CABAL': 8, 'TODOS': 6, 'VAMOS': 16, 'PHG': 2, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 11, 'FCN-NACION': 1, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 12, 'CREO': 0, 'BIEN': 29, 'VIVA': 14, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 7}",27,66,286,0,Algún campo sin dato,13.Huehuetenango,9.Ixtahuacán,2254,presidente
15496,,"{'UNE': 59, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 14, 'TODOS': 8, 'VAMOS': 24, 'PHG': 6, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 1, 'SEMILLA': 16, 'FCN-NACION': 1, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 21, 'CREO': 0, 'BIEN': 25, 'VIVA': 22, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",19,51,289,0,Sumas Asentadas sin cuadrar,13.Huehuetenango,9.Ixtahuacán,2254,presidente
15497,,"{'UNE': 36, 'AZUL': 3, 'VALOR UNIONISTA': 3, 'CABAL': 16, 'TODOS': 5, 'VAMOS': 23, 'PHG': 5, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 12, 'FCN-NACION': 2, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 17, 'CREO': 1, 'BIEN': 19, 'VIVA': 17, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",18,51,241,0,Algún campo sin dato,13.Huehuetenango,9.Ixtahuacán,2255,presidente
15498,,"{'UNE': 41, 'AZUL': 3, 'VALOR UNIONISTA': 7, 'CABAL': 18, 'TODOS': 11, 'VAMOS': 28, 'PHG': 2, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 5, 'UR': 2, 'URNG-MAIZ WINAQ': 12, 'CREO': 1, 'BIEN': 20, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",26,50,267,0,Algún campo sin dato,13.Huehuetenango,9.Ixtahuacán,2255,presidente
15499,,"{'UNE': 57, 'AZUL': 2, 'VALOR UNIONISTA': 4, 'CABAL': 8, 'TODOS': 11, 'VAMOS': 19, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 21, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 13, 'CREO': 2, 'BIEN': 27, 'VIVA': 9, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 4}",21,53,262,0,Algún campo sin dato,13.Huehuetenango,9.Ixtahuacán,2255,presidente
15500,,"{'UNE': 42, 'AZUL': 3, 'VALOR UNIONISTA': 7, 'CABAL': 4, 'TODOS': 6, 'VAMOS': 13, 'PHG': 3, 'PR': 2, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 20, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 13, 'CREO': 1, 'BIEN': 30, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",27,50,250,0,Algún campo sin dato,13.Huehuetenango,9.Ixtahuacán,2255,presidente
15501,,"{'UNE': 25, 'AZUL': 5, 'VALOR UNIONISTA': 5, 'CABAL': 8, 'TODOS': 12, 'VAMOS': 14, 'PHG': 3, 'PR': 1, 'PIN': 0, 'ELEFANTE': 5, 'VICTORIA': 3, 'SEMILLA': 30, 'FCN-NACION': 2, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 17, 'CREO': 4, 'BIEN': 31, 'VIVA': 15, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",20,44,251,0,Algún campo sin dato,13.Huehuetenango,9.Ixtahuacán,2255,presidente
15502,,"{'UNE': 38, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 17, 'TODOS': 7, 'VAMOS': 23, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 27, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 13, 'CREO': 1, 'BIEN': 21, 'VIVA': 12, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",10,48,229,0,Algún campo sin dato,13.Huehuetenango,9.Ixtahuacán,2255,presidente
15503,,"{'UNE': 41, 'AZUL': 3, 'VALOR UNIONISTA': 2, 'CABAL': 9, 'TODOS': 15, 'VAMOS': 26, 'PHG': 3, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 35, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 12, 'CREO': 0, 'BIEN': 20, 'VIVA': 13, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",11,54,258,0,Algún campo sin dato,13.Huehuetenango,9.Ixtahuacán,2255,presidente
15504,,"{'UNE': 29, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 6, 'TODOS': 6, 'VAMOS': 13, 'PHG': 3, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 12, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 9, 'CREO': 0, 'BIEN': 14, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",14,32,160,0,Algún campo sin dato,13.Huehuetenango,9.Ixtahuacán,2255,presidente
15505,,"{'UNE': 21, 'AZUL': 2, 'VALOR UNIONISTA': 1, 'CABAL': 5, 'TODOS': 5, 'VAMOS': 9, 'PHG': 3, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 9, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",5,21,105,0,Algún campo sin dato,13.Huehuetenango,9.Ixtahuacán,2255,presidente
15506,,"{'UNE': 71, 'AZUL': 4, 'VALOR UNIONISTA': 6, 'CABAL': 14, 'TODOS': 10, 'VAMOS': 24, 'PHG': 4, 'PR': 0, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 4, 'FCN-NACION': 2, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 19, 'CREO': 1, 'BIEN': 23, 'VIVA': 12, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 1}",40,60,305,0,Algún campo sin dato,13.Huehuetenango,9.Ixtahuacán,2256,presidente
