mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
15615,,"{'UNE': 33, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 1, 'TODOS': 40, 'VAMOS': 30, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 3, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 4, 'BIEN': 6, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",25,39,210,0,Algún campo sin dato,13.Huehuetenango,11.La Libertad,2277,presidente
15616,,"{'UNE': 59, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 1, 'TODOS': 20, 'VAMOS': 31, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 1, 'SEMILLA': 4, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 4, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 0}",33,44,213,0,Sumas Asentadas sin cuadrar,13.Huehuetenango,11.La Libertad,2277,presidente
15617,,"{'UNE': 63, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 3, 'TODOS': 31, 'VAMOS': 51, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 2, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 2, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",33,45,252,0,Algún campo sin dato,13.Huehuetenango,11.La Libertad,2277,presidente
15618,,"{'UNE': 52, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 3, 'TODOS': 35, 'VAMOS': 35, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 5, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 1, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",40,25,219,0,Algún campo sin dato,13.Huehuetenango,11.La Libertad,2277,presidente
15619,,"{'UNE': 41, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 1, 'TODOS': 31, 'VAMOS': 61, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 0, 'SEMILLA': 4, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 0, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",35,36,225,0,Algún campo sin dato,13.Huehuetenango,11.La Libertad,2277,presidente
15620,,"{'UNE': 60, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 2, 'TODOS': 25, 'VAMOS': 67, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 1, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 0, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",38,18,226,0,Algún campo sin dato,13.Huehuetenango,11.La Libertad,2277,presidente
15621,,"{'UNE': 46, 'AZUL': 2, 'VALOR UNIONISTA': 3, 'CABAL': 6, 'TODOS': 24, 'VAMOS': 50, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 3, 'BIEN': 1, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",36,30,227,0,Algún campo sin dato,13.Huehuetenango,11.La Libertad,2277,presidente
15622,,"{'UNE': 54, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 2, 'TODOS': 44, 'VAMOS': 38, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",30,39,230,0,Sumas Asentadas sin cuadrar,13.Huehuetenango,11.La Libertad,2277,presidente
15623,,"{'UNE': 59, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 3, 'TODOS': 24, 'VAMOS': 32, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 2, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 5, 'BIEN': 3, 'VIVA': 4, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",26,58,247,0,Algún campo sin dato,13.Huehuetenango,11.La Libertad,2277,presidente
15624,,"{'UNE': 55, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 5, 'TODOS': 37, 'VAMOS': 40, 'PHG': 1, 'PR': 4, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 0, 'SEMILLA': 16, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 0, 'VIVA': 6, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",24,46,254,0,Algún campo sin dato,13.Huehuetenango,11.La Libertad,2277,presidente
15625,,"{'UNE': 62, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 2, 'TODOS': 31, 'VAMOS': 41, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 0, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 6, 'VIVA': 2, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 2}",40,40,251,0,Sumas Asentadas sin cuadrar,13.Huehuetenango,11.La Libertad,2277,presidente
15626,,"{'UNE': 44, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 2, 'TODOS': 19, 'VAMOS': 53, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 2, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 3, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",38,36,226,0,Algún campo sin dato,13.Huehuetenango,11.La Libertad,2278,presidente
15627,,"{'UNE': 37, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 0, 'TODOS': 24, 'VAMOS': 39, 'PHG': 5, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 1, 'VIVA': 3, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 6}",10,28,171,0,Algún campo sin dato,13.Huehuetenango,11.La Libertad,2278,presidente
15628,,"{'UNE': 40, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 1, 'TODOS': 23, 'VAMOS': 34, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 0, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 2, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",19,25,164,0,Algún campo sin dato,13.Huehuetenango,11.La Libertad,2278,presidente
15629,,"{'UNE': 38, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 1, 'TODOS': 20, 'VAMOS': 21, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 5, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",15,38,166,0,Algún campo sin dato,13.Huehuetenango,11.La Libertad,2278,presidente
