mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
16008,,"{'UNE': 23, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 0, 'TODOS': 0, 'VAMOS': 88, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 19, 'CREO': 0, 'BIEN': 1, 'VIVA': 58, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",43,31,272,0,Sumas Asentadas sin cuadrar,13.Huehuetenango,18.San Mateo Ixtatán,2354,presidente
16009,,"{'UNE': 28, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 0, 'TODOS': 0, 'VAMOS': 17, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 21, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 32, 'CREO': 0, 'BIEN': 1, 'VIVA': 98, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",26,57,291,0,Algún campo sin dato,13.Huehuetenango,18.San Mateo Ixtatán,2354,presidente
16010,,"{'UNE': 11, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 1, 'TODOS': 1, 'VAMOS': 9, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 26, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 62, 'CREO': 1, 'BIEN': 0, 'VIVA': 97, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",20,74,310,0,Algún campo sin dato,13.Huehuetenango,18.San Mateo Ixtatán,2354,presidente
16011,,"{'UNE': 15, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 0, 'TODOS': 2, 'VAMOS': 10, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 24, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 33, 'CREO': 1, 'BIEN': 1, 'VIVA': 103, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",18,62,280,11,Algún campo sin dato,13.Huehuetenango,18.San Mateo Ixtatán,2354,presidente
16012,,"{'UNE': 11, 'AZUL': 2, 'VALOR UNIONISTA': 0, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 6, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 55, 'SEMILLA': 2, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 29, 'CREO': 1, 'BIEN': 0, 'VIVA': 116, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",28,60,316,0,Sumas Asentadas sin cuadrar,13.Huehuetenango,18.San Mateo Ixtatán,2354,presidente
16013,,"{'UNE': 10, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 28, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 14, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 23, 'CREO': 0, 'BIEN': 0, 'VIVA': 69, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",14,64,233,0,Algún campo sin dato,13.Huehuetenango,18.San Mateo Ixtatán,2355,presidente
16014,,"{'UNE': 17, 'AZUL': 2, 'VALOR UNIONISTA': 0, 'CABAL': 2, 'TODOS': 0, 'VAMOS': 29, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 14, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 33, 'CREO': 0, 'BIEN': 0, 'VIVA': 67, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 3}",17,42,233,0,Algún campo sin dato,13.Huehuetenango,18.San Mateo Ixtatán,2355,presidente
16015,,"{'UNE': 13, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 0, 'TODOS': 0, 'VAMOS': 27, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 14, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 21, 'CREO': 1, 'BIEN': 0, 'VIVA': 67, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",28,64,240,136,Algún campo sin dato,13.Huehuetenango,18.San Mateo Ixtatán,2355,presidente
16016,,"{'UNE': 11, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 2, 'TODOS': 0, 'VAMOS': 27, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 20, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 23, 'CREO': 0, 'BIEN': 1, 'VIVA': 83, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",23,59,265,0,Algún campo sin dato,13.Huehuetenango,18.San Mateo Ixtatán,2355,presidente
16017,,"{'UNE': 9, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 78, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 10, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 21, 'CREO': 1, 'BIEN': 0, 'VIVA': 82, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",15,36,264,0,Sumas Asentadas sin cuadrar,13.Huehuetenango,18.San Mateo Ixtatán,2356,presidente
16018,,"{'UNE': 8, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 19, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 22, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 26, 'CREO': 0, 'BIEN': 3, 'VIVA': 117, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",19,43,273,0,Algún campo sin dato,13.Huehuetenango,18.San Mateo Ixtatán,2356,presidente
16019,,"{'UNE': 7, 'AZUL': 1, 'VALOR UNIONISTA': 0, 'CABAL': 0, 'TODOS': 0, 'VAMOS': 21, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 18, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 16, 'CREO': 0, 'BIEN': 1, 'VIVA': 55, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",3,35,167,0,Algún campo sin dato,13.Huehuetenango,18.San Mateo Ixtatán,2356,presidente
16020,,"{'UNE': 6, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 0, 'TODOS': 0, 'VAMOS': 22, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 18, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 18, 'CREO': 0, 'BIEN': 0, 'VIVA': 53, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",22,36,177,0,Sumas Asentadas sin cuadrar,13.Huehuetenango,18.San Mateo Ixtatán,2356,presidente
16021,,"{'UNE': 39, 'AZUL': 1, 'VALOR UNIONISTA': 0, 'CABAL': 1, 'TODOS': 1, 'VAMOS': 62, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 13, 'CREO': 2, 'BIEN': 1, 'VIVA': 36, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",45,39,248,143,Sumas Asentadas sin cuadrar,13.Huehuetenango,18.San Mateo Ixtatán,2357,presidente
16022,,"{'UNE': 41, 'AZUL': 1, 'VALOR UNIONISTA': 0, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 74, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 18, 'CREO': 2, 'BIEN': 0, 'VIVA': 24, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 0}",58,39,273,0,Algún campo sin dato,13.Huehuetenango,18.San Mateo Ixtatán,2357,presidente
