mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
13214,,"{'UNE': 11, 'AZUL': 3, 'VALOR UNIONISTA': 11, 'CABAL': 27, 'TODOS': 1, 'VAMOS': 6, 'PHG': 1, 'PR': 2, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 54, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 14, 'VIVA': 34, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 31}",5,34,246,0,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1803,presidente
13215,,"{'UNE': 15, 'AZUL': 3, 'VALOR UNIONISTA': 8, 'CABAL': 31, 'TODOS': 3, 'VAMOS': 9, 'PHG': 2, 'PR': 5, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 74, 'FCN-NACION': 3, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 4, 'VIVA': 30, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 18}",9,32,261,1,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1803,presidente
13216,,"{'UNE': 17, 'AZUL': 2, 'VALOR UNIONISTA': 10, 'CABAL': 33, 'TODOS': 3, 'VAMOS': 5, 'PHG': 0, 'PR': 7, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 7, 'SEMILLA': 49, 'FCN-NACION': 2, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 14, 'VIVA': 28, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 33}",9,25,262,0,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1803,presidente
13217,,"{'UNE': 14, 'AZUL': 6, 'VALOR UNIONISTA': 10, 'CABAL': 30, 'TODOS': 1, 'VAMOS': 10, 'PHG': 1, 'PR': 4, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 9, 'SEMILLA': 42, 'FCN-NACION': 1, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 9, 'CREO': 1, 'BIEN': 2, 'VIVA': 47, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 17}",6,31,255,0,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1803,presidente
13218,,"{'UNE': 14, 'AZUL': 6, 'VALOR UNIONISTA': 11, 'CABAL': 29, 'TODOS': 2, 'VAMOS': 4, 'PHG': 0, 'PR': 3, 'PIN': 3, 'ELEFANTE': 5, 'VICTORIA': 5, 'SEMILLA': 67, 'FCN-NACION': 4, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 6, 'CREO': 4, 'BIEN': 11, 'VIVA': 39, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 24}",2,25,266,0,Sumas Asentadas sin cuadrar,12.San Marcos,2.San Pedro Sacatepéquez,1803,presidente
13219,,"{'UNE': 11, 'AZUL': 5, 'VALOR UNIONISTA': 12, 'CABAL': 33, 'TODOS': 3, 'VAMOS': 14, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 59, 'FCN-NACION': 1, 'PPN': 5, 'UR': 2, 'URNG-MAIZ WINAQ': 8, 'CREO': 2, 'BIEN': 8, 'VIVA': 26, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 34}",3,36,271,0,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1803,presidente
13220,,"{'UNE': 9, 'AZUL': 6, 'VALOR UNIONISTA': 12, 'CABAL': 27, 'TODOS': 3, 'VAMOS': 4, 'PHG': 2, 'PR': 8, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 8, 'SEMILLA': 67, 'FCN-NACION': 1, 'PPN': 1, 'UR': 5, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 9, 'VIVA': 36, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 32}",7,31,276,0,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1803,presidente
13221,,"{'UNE': 12, 'AZUL': 6, 'VALOR UNIONISTA': 22, 'CABAL': 28, 'TODOS': 3, 'VAMOS': 6, 'PHG': 1, 'PR': 4, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 7, 'SEMILLA': 71, 'FCN-NACION': 3, 'PPN': 9, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 10, 'VIVA': 37, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 28}",5,25,286,0,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1803,presidente
13222,,"{'UNE': 21, 'AZUL': 2, 'VALOR UNIONISTA': 8, 'CABAL': 33, 'TODOS': 0, 'VAMOS': 7, 'PHG': 1, 'PR': 9, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 3, 'SEMILLA': 83, 'FCN-NACION': 1, 'PPN': 10, 'UR': 5, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 7, 'VIVA': 38, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 29}",3,37,304,0,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1803,presidente
13223,,"{'UNE': 14, 'AZUL': 7, 'VALOR UNIONISTA': 9, 'CABAL': 35, 'TODOS': 2, 'VAMOS': 9, 'PHG': 2, 'PR': 3, 'PIN': 4, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 80, 'FCN-NACION': 0, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 4, 'BIEN': 10, 'VIVA': 21, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 34}",5,36,292,0,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1803,presidente
13224,,"{'UNE': 18, 'AZUL': 8, 'VALOR UNIONISTA': 12, 'CABAL': 39, 'TODOS': 0, 'VAMOS': 10, 'PHG': 0, 'PR': 10, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 88, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 3, 'BIEN': 9, 'VIVA': 19, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 36}",3,17,293,2,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1803,presidente
13225,,"{'UNE': 10, 'AZUL': 2, 'VALOR UNIONISTA': 10, 'CABAL': 26, 'TODOS': 0, 'VAMOS': 11, 'PHG': 0, 'PR': 5, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 10, 'SEMILLA': 93, 'FCN-NACION': 2, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 15, 'VIVA': 17, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 31}",3,25,271,0,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1803,presidente
13226,,"{'UNE': 8, 'AZUL': 7, 'VALOR UNIONISTA': 4, 'CABAL': 14, 'TODOS': 1, 'VAMOS': 4, 'PHG': 1, 'PR': 2, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 88, 'FCN-NACION': 3, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 10, 'VIVA': 24, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 34}",2,16,235,0,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1803,presidente
13227,,"{'UNE': 13, 'AZUL': 9, 'VALOR UNIONISTA': 8, 'CABAL': 34, 'TODOS': 1, 'VAMOS': 6, 'PHG': 0, 'PR': 4, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 10, 'SEMILLA': 55, 'FCN-NACION': 3, 'PPN': 3, 'UR': 5, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 15, 'VIVA': 19, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 33}",6,24,257,0,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1803,presidente
13228,,"{'UNE': 17, 'AZUL': 3, 'VALOR UNIONISTA': 14, 'CABAL': 28, 'TODOS': 1, 'VAMOS': 15, 'PHG': 1, 'PR': 8, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 84, 'FCN-NACION': 3, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 11, 'VIVA': 26, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 22}",2,27,276,0,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1803,presidente
13229,,"{'UNE': 13, 'AZUL': 3, 'VALOR UNIONISTA': 10, 'CABAL': 29, 'TODOS': 5, 'VAMOS': 5, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 84, 'FCN-NACION': 2, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 4, 'BIEN': 6, 'VIVA': 26, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 35}",2,17,256,144,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1803,presidente
13230,,"{'UNE': 6, 'AZUL': 2, 'VALOR UNIONISTA': 12, 'CABAL': 22, 'TODOS': 2, 'VAMOS': 6, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 3, 'SEMILLA': 84, 'FCN-NACION': 2, 'PPN': 1, 'UR': 5, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 8, 'VIVA': 25, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 40}",3,32,261,0,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1803,presidente
13231,,"{'UNE': 10, 'AZUL': 3, 'VALOR UNIONISTA': 18, 'CABAL': 31, 'TODOS': 1, 'VAMOS': 8, 'PHG': 0, 'PR': 7, 'PIN': 0, 'ELEFANTE': 6, 'VICTORIA': 7, 'SEMILLA': 63, 'FCN-NACION': 3, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 12, 'VIVA': 21, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 23}",7,27,255,0,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1803,presidente
13232,,"{'UNE': 9, 'AZUL': 4, 'VALOR UNIONISTA': 19, 'CABAL': 24, 'TODOS': 2, 'VAMOS': 7, 'PHG': 1, 'PR': 7, 'PIN': 2, 'ELEFANTE': 4, 'VICTORIA': 4, 'SEMILLA': 86, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 6, 'VIVA': 22, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 29}",1,27,265,0,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1803,presidente
13233,,"{'UNE': 16, 'AZUL': 9, 'VALOR UNIONISTA': 15, 'CABAL': 26, 'TODOS': 1, 'VAMOS': 8, 'PHG': 1, 'PR': 3, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 85, 'FCN-NACION': 0, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 13, 'VIVA': 24, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 24}",4,30,277,0,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1803,presidente
13234,,"{'UNE': 10, 'AZUL': 6, 'VALOR UNIONISTA': 14, 'CABAL': 33, 'TODOS': 0, 'VAMOS': 6, 'PHG': 0, 'PR': 6, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 8, 'SEMILLA': 79, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 10, 'VIVA': 20, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 27}",152,15,400,0,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1803,presidente
13235,,"{'UNE': 11, 'AZUL': 6, 'VALOR UNIONISTA': 14, 'CABAL': 29, 'TODOS': 3, 'VAMOS': 6, 'PHG': 2, 'PR': 0, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 63, 'FCN-NACION': 3, 'PPN': 2, 'UR': 5, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 17, 'VIVA': 23, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 26}",3,26,253,0,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1803,presidente
13236,,"{'UNE': 11, 'AZUL': 1, 'VALOR UNIONISTA': 16, 'CABAL': 19, 'TODOS': 2, 'VAMOS': 4, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 8, 'SEMILLA': 52, 'FCN-NACION': 3, 'PPN': 2, 'UR': 6, 'URNG-MAIZ WINAQ': 11, 'CREO': 2, 'BIEN': 14, 'VIVA': 28, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 21}",11,24,243,0,Sumas Asentadas sin cuadrar,12.San Marcos,2.San Pedro Sacatepéquez,1803,presidente
13237,,"{'UNE': 9, 'AZUL': 4, 'VALOR UNIONISTA': 14, 'CABAL': 17, 'TODOS': 0, 'VAMOS': 5, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 6, 'SEMILLA': 66, 'FCN-NACION': 0, 'PPN': 4, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 16, 'VIVA': 31, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 24}",7,25,239,0,Sumas Asentadas sin cuadrar,12.San Marcos,2.San Pedro Sacatepéquez,1803,presidente
13238,,"{'UNE': 16, 'AZUL': 6, 'VALOR UNIONISTA': 10, 'CABAL': 21, 'TODOS': 4, 'VAMOS': 4, 'PHG': 3, 'PR': 6, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 6, 'SEMILLA': 66, 'FCN-NACION': 2, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 5, 'VIVA': 24, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 21}",2,28,236,0,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1803,presidente
13239,,"{'UNE': 5, 'AZUL': 5, 'VALOR UNIONISTA': 14, 'CABAL': 25, 'TODOS': 2, 'VAMOS': 7, 'PHG': 1, 'PR': 2, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 4, 'SEMILLA': 57, 'FCN-NACION': 2, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 6, 'VIVA': 27, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 20}",8,14,211,0,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1804,presidente
13240,,"{'UNE': 8, 'AZUL': 0, 'VALOR UNIONISTA': 15, 'CABAL': 21, 'TODOS': 2, 'VAMOS': 3, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 74, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 8, 'VIVA': 33, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 27}",2,15,227,0,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1804,presidente
13241,,"{'UNE': 3, 'AZUL': 5, 'VALOR UNIONISTA': 99, 'CABAL': 21, 'TODOS': 2, 'VAMOS': 5, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 114, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 12, 'VIVA': 17, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 29}",2,15,340,17,Sumas Asentadas sin cuadrar,12.San Marcos,2.San Pedro Sacatepéquez,1804,presidente
13242,,"{'UNE': 4, 'AZUL': 2, 'VALOR UNIONISTA': 1, 'CABAL': 18, 'TODOS': 3, 'VAMOS': 4, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 113, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 8, 'VIVA': 13, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 29}",0,13,221,0,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1804,presidente
13243,,"{'UNE': 5, 'AZUL': 2, 'VALOR UNIONISTA': 10, 'CABAL': 13, 'TODOS': 1, 'VAMOS': 2, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 110, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 9, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 24}",1,16,212,0,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1805,presidente
13244,,"{'UNE': 2, 'AZUL': 2, 'VALOR UNIONISTA': 7, 'CABAL': 13, 'TODOS': 2, 'VAMOS': 4, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 122, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 15, 'VIVA': 19, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 31}",1,11,244,0,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1805,presidente
13245,,"{'UNE': 4, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 18, 'TODOS': 0, 'VAMOS': 3, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 126, 'FCN-NACION': 1, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 14, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 23}",0,8,230,0,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1805,presidente
13246,,"{'UNE': 7, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 14, 'TODOS': 2, 'VAMOS': 3, 'PHG': 0, 'PR': 7, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 117, 'FCN-NACION': 4, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 7, 'VIVA': 18, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 28}",0,10,230,0,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1805,presidente
13247,,"{'UNE': 6, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 4, 'TODOS': 3, 'VAMOS': 3, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 9, 'SEMILLA': 41, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 7, 'VIVA': 16, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",3,10,124,0,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1805,presidente
13248,,"{'UNE': 8, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 2, 'PHG': 3, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 29, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 11, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 11}",0,12,100,1,Sumas Asentadas sin cuadrar,12.San Marcos,2.San Pedro Sacatepéquez,1805,presidente
13249,,"{'UNE': 18, 'AZUL': 2, 'VALOR UNIONISTA': 15, 'CABAL': 25, 'TODOS': 2, 'VAMOS': 14, 'PHG': 3, 'PR': 10, 'PIN': 4, 'ELEFANTE': 4, 'VICTORIA': 4, 'SEMILLA': 31, 'FCN-NACION': 2, 'PPN': 5, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 5, 'VIVA': 22, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 16}",16,36,243,0,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1806,presidente
13250,,"{'UNE': 18, 'AZUL': 3, 'VALOR UNIONISTA': 8, 'CABAL': 28, 'TODOS': 2, 'VAMOS': 11, 'PHG': 2, 'PR': 9, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 10, 'SEMILLA': 43, 'FCN-NACION': 0, 'PPN': 5, 'UR': 1, 'URNG-MAIZ WINAQ': 8, 'CREO': 0, 'BIEN': 4, 'VIVA': 34, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 17}",14,32,251,0,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1806,presidente
13251,,"{'UNE': 32, 'AZUL': 6, 'VALOR UNIONISTA': 13, 'CABAL': 27, 'TODOS': 5, 'VAMOS': 7, 'PHG': 1, 'PR': 5, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 12, 'SEMILLA': 44, 'FCN-NACION': 0, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 7, 'CREO': 1, 'BIEN': 6, 'VIVA': 34, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 26}",6,31,271,0,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1806,presidente
13252,,"{'UNE': 12, 'AZUL': 3, 'VALOR UNIONISTA': 13, 'CABAL': 22, 'TODOS': 6, 'VAMOS': 13, 'PHG': 0, 'PR': 11, 'PIN': 2, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 43, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 13, 'VIVA': 39, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 21}",4,41,258,0,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1806,presidente
13253,,"{'UNE': 12, 'AZUL': 7, 'VALOR UNIONISTA': 9, 'CABAL': 22, 'TODOS': 1, 'VAMOS': 11, 'PHG': 1, 'PR': 9, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 40, 'FCN-NACION': 2, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 4, 'VIVA': 20, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 27}",8,36,225,0,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1806,presidente
13254,,"{'UNE': 29, 'AZUL': 5, 'VALOR UNIONISTA': 6, 'CABAL': 25, 'TODOS': 1, 'VAMOS': 18, 'PHG': 0, 'PR': 10, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 6, 'SEMILLA': 35, 'FCN-NACION': 1, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 4, 'VIVA': 26, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 23}",15,27,248,0,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1806,presidente
13255,,"{'UNE': 15, 'AZUL': 6, 'VALOR UNIONISTA': 21, 'CABAL': 21, 'TODOS': 4, 'VAMOS': 6, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 8, 'SEMILLA': 36, 'FCN-NACION': 0, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 3, 'VIVA': 25, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 22}",10,33,222,0,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1806,presidente
13256,,"{'UNE': 14, 'AZUL': 4, 'VALOR UNIONISTA': 6, 'CABAL': 21, 'TODOS': 5, 'VAMOS': 7, 'PHG': 0, 'PR': 5, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 32, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 5, 'VIVA': 32, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 16}",6,23,191,0,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1806,presidente
13257,,"{'UNE': 5, 'AZUL': 3, 'VALOR UNIONISTA': 7, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 2, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 64, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 3, 'VIVA': 15, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 21}",2,9,159,0,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1806,presidente
13258,,"{'UNE': 5, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 14, 'TODOS': 2, 'VAMOS': 8, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 48, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 13, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 15}",6,16,147,0,Algún campo sin dato,12.San Marcos,2.San Pedro Sacatepéquez,1806,presidente
13259,,"{'UNE': 16, 'AZUL': 3, 'VALOR UNIONISTA': 10, 'CABAL': 25, 'TODOS': 4, 'VAMOS': 3, 'PHG': 0, 'PR': 5, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 5, 'SEMILLA': 27, 'FCN-NACION': 0, 'PPN': 5, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 7, 'VIVA': 34, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 18}",13,23,208,0,Sumas Asentadas sin cuadrar,12.San Marcos,2.San Pedro Sacatepéquez,1807,presidente
