mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
11560,,"{'UNE': 47, 'AZUL': 0, 'VALOR UNIONISTA': 30, 'CABAL': 27, 'TODOS': 0, 'VAMOS': 29, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 10, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",52,40,276,0,Algún campo sin dato,9.Quetzaltenango,21.Génova,1547,presidente
11561,,"{'UNE': 40, 'AZUL': 1, 'VALOR UNIONISTA': 36, 'CABAL': 25, 'TODOS': 2, 'VAMOS': 30, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 7, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 0, 'VIVA': 14, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 5}",48,41,274,0,Algún campo sin dato,9.Quetzaltenango,21.Génova,1547,presidente
11562,,"{'UNE': 34, 'AZUL': 0, 'VALOR UNIONISTA': 32, 'CABAL': 21, 'TODOS': 1, 'VAMOS': 28, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 16, 'UR': 1, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 4, 'VIVA': 16, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 7}",35,41,257,0,Algún campo sin dato,9.Quetzaltenango,21.Génova,1547,presidente
11563,,"{'UNE': 41, 'AZUL': 0, 'VALOR UNIONISTA': 24, 'CABAL': 35, 'TODOS': 2, 'VAMOS': 30, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 10, 'UR': 0, 'URNG-MAIZ WINAQ': 7, 'CREO': 0, 'BIEN': 2, 'VIVA': 19, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",42,42,269,0,Algún campo sin dato,9.Quetzaltenango,21.Génova,1547,presidente
11564,,"{'UNE': 39, 'AZUL': 2, 'VALOR UNIONISTA': 36, 'CABAL': 54, 'TODOS': 5, 'VAMOS': 24, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 12, 'FCN-NACION': 1, 'PPN': 6, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 1, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",53,40,298,0,Algún campo sin dato,9.Quetzaltenango,21.Génova,1547,presidente
11565,,"{'UNE': 38, 'AZUL': 0, 'VALOR UNIONISTA': 32, 'CABAL': 40, 'TODOS': 3, 'VAMOS': 52, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 15, 'FCN-NACION': 3, 'PPN': 11, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 2, 'VIVA': 24, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",50,35,320,0,Algún campo sin dato,9.Quetzaltenango,21.Génova,1547,presidente
11566,,"{'UNE': 25, 'AZUL': 0, 'VALOR UNIONISTA': 41, 'CABAL': 33, 'TODOS': 0, 'VAMOS': 61, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 8, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 2, 'VIVA': 13, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 0}",63,43,306,0,Algún campo sin dato,9.Quetzaltenango,21.Génova,1547,presidente
11567,,"{'UNE': 33, 'AZUL': 0, 'VALOR UNIONISTA': 26, 'CABAL': 29, 'TODOS': 0, 'VAMOS': 69, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 9, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 0, 'VIVA': 12, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",75,49,320,0,Algún campo sin dato,9.Quetzaltenango,21.Génova,1547,presidente
11568,,"{'UNE': 42, 'AZUL': 1, 'VALOR UNIONISTA': 26, 'CABAL': 17, 'TODOS': 2, 'VAMOS': 52, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 10, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 12, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 3, 'VIVA': 22, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 4}",48,28,282,4,Algún campo sin dato,9.Quetzaltenango,21.Génova,1547,presidente
11569,,"{'UNE': 41, 'AZUL': 1, 'VALOR UNIONISTA': 41, 'CABAL': 16, 'TODOS': 0, 'VAMOS': 50, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 1, 'VIVA': 20, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",25,46,272,0,Algún campo sin dato,9.Quetzaltenango,21.Génova,1547,presidente
11570,,"{'UNE': 47, 'AZUL': 1, 'VALOR UNIONISTA': 29, 'CABAL': 26, 'TODOS': 1, 'VAMOS': 27, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 13, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 0, 'VIVA': 27, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",25,22,239,0,Algún campo sin dato,9.Quetzaltenango,21.Génova,1547,presidente
11571,,"{'UNE': 40, 'AZUL': 0, 'VALOR UNIONISTA': 27, 'CABAL': 24, 'TODOS': 1, 'VAMOS': 39, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 15, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 0, 'VIVA': 18, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 5}",34,45,270,0,,9.Quetzaltenango,21.Génova,1547,presidente
11572,,"{'UNE': 43, 'AZUL': 1, 'VALOR UNIONISTA': 25, 'CABAL': 24, 'TODOS': 2, 'VAMOS': 44, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 6, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 0, 'VIVA': 24, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 5}",27,44,268,0,Algún campo sin dato,9.Quetzaltenango,21.Génova,1547,presidente
11573,,"{'UNE': 43, 'AZUL': 1, 'VALOR UNIONISTA': 23, 'CABAL': 41, 'TODOS': 1, 'VAMOS': 25, 'PHG': 3, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 15, 'UR': 4, 'URNG-MAIZ WINAQ': 7, 'CREO': 1, 'BIEN': 2, 'VIVA': 22, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",33,39,279,0,Algún campo sin dato,9.Quetzaltenango,21.Génova,1547,presidente
11574,,"{'UNE': 33, 'AZUL': 1, 'VALOR UNIONISTA': 22, 'CABAL': 21, 'TODOS': 0, 'VAMOS': 33, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 12, 'FCN-NACION': 1, 'PPN': 8, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 5, 'VIVA': 22, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 5}",34,43,255,0,Algún campo sin dato,9.Quetzaltenango,21.Génova,1547,presidente
