mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
13615,,"{'UNE': 22, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 16, 'TODOS': 9, 'VAMOS': 12, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 6, 'VICTORIA': 3, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 1, 'UR': 5, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 5, 'VIVA': 18, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",25,52,207,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1886,presidente
13616,,"{'UNE': 31, 'AZUL': 2, 'VALOR UNIONISTA': 8, 'CABAL': 12, 'TODOS': 22, 'VAMOS': 8, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 19, 'VICTORIA': 3, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 7, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 5, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 14}",35,52,247,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1886,presidente
13617,,"{'UNE': 28, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 26, 'TODOS': 5, 'VAMOS': 13, 'PHG': 3, 'PR': 1, 'PIN': 0, 'ELEFANTE': 7, 'VICTORIA': 3, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 7, 'UR': 3, 'URNG-MAIZ WINAQ': 6, 'CREO': 5, 'BIEN': 11, 'VIVA': 4, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 12}",32,59,244,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1886,presidente
13618,,"{'UNE': 32, 'AZUL': 4, 'VALOR UNIONISTA': 6, 'CABAL': 28, 'TODOS': 10, 'VAMOS': 8, 'PHG': 0, 'PR': 2, 'PIN': 2, 'ELEFANTE': 6, 'VICTORIA': 2, 'SEMILLA': 18, 'FCN-NACION': 1, 'PPN': 8, 'UR': 1, 'URNG-MAIZ WINAQ': 8, 'CREO': 6, 'BIEN': 10, 'VIVA': 10, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 7}",29,40,240,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1886,presidente
13619,,"{'UNE': 55, 'AZUL': 2, 'VALOR UNIONISTA': 5, 'CABAL': 25, 'TODOS': 3, 'VAMOS': 14, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 10, 'VICTORIA': 3, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 6, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 3, 'BIEN': 4, 'VIVA': 13, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",24,41,234,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1886,presidente
13620,,"{'UNE': 41, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 22, 'TODOS': 3, 'VAMOS': 16, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 11, 'VICTORIA': 2, 'SEMILLA': 15, 'FCN-NACION': 1, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 7, 'CREO': 8, 'BIEN': 6, 'VIVA': 11, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 9}",35,33,234,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1886,presidente
13621,,"{'UNE': 36, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 25, 'TODOS': 5, 'VAMOS': 21, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 5, 'VICTORIA': 5, 'SEMILLA': 20, 'FCN-NACION': 0, 'PPN': 3, 'UR': 6, 'URNG-MAIZ WINAQ': 13, 'CREO': 0, 'BIEN': 10, 'VIVA': 11, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 12}",18,57,260,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1886,presidente
13622,,"{'UNE': 38, 'AZUL': 3, 'VALOR UNIONISTA': 7, 'CABAL': 27, 'TODOS': 3, 'VAMOS': 6, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 7, 'VICTORIA': 2, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 8, 'UR': 4, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 5, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 16}",22,46,230,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1886,presidente
13623,,"{'UNE': 15, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 5, 'TODOS': 8, 'VAMOS': 7, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 6, 'VICTORIA': 3, 'SEMILLA': 16, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 3, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 10}",10,36,140,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1886,presidente
13624,,"{'UNE': 30, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 13, 'TODOS': 9, 'VAMOS': 5, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 4, 'VICTORIA': 3, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 4, 'UR': 3, 'URNG-MAIZ WINAQ': 9, 'CREO': 3, 'BIEN': 8, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",22,44,190,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1886,presidente
13625,,"{'UNE': 34, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 27, 'TODOS': 7, 'VAMOS': 7, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 10, 'VICTORIA': 1, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 3, 'UR': 5, 'URNG-MAIZ WINAQ': 7, 'CREO': 2, 'BIEN': 8, 'VIVA': 15, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 16}",11,48,231,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1886,presidente
13626,,"{'UNE': 26, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 17, 'TODOS': 1, 'VAMOS': 14, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 12, 'VICTORIA': 3, 'SEMILLA': 28, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 13, 'CREO': 3, 'BIEN': 3, 'VIVA': 17, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 17}",8,69,241,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1886,presidente
13627,,"{'UNE': 27, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 17, 'TODOS': 7, 'VAMOS': 9, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 7, 'VICTORIA': 2, 'SEMILLA': 24, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 10, 'CREO': 4, 'BIEN': 4, 'VIVA': 11, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 7}",23,38,205,0,Sumas Asentadas sin cuadrar,12.San Marcos,7.Tacaná,1886,presidente
13628,,"{'UNE': 30, 'AZUL': 0, 'VALOR UNIONISTA': 6, 'CABAL': 18, 'TODOS': 6, 'VAMOS': 15, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 8, 'VICTORIA': 2, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 6, 'CREO': 3, 'BIEN': 2, 'VIVA': 6, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 19}",20,54,220,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1886,presidente
13629,,"{'UNE': 17, 'AZUL': 2, 'VALOR UNIONISTA': 4, 'CABAL': 16, 'TODOS': 9, 'VAMOS': 8, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 3, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 5, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 17}",8,29,156,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1886,presidente
13630,,"{'UNE': 9, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 14, 'TODOS': 5, 'VAMOS': 5, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 1, 'SEMILLA': 33, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 6, 'CREO': 3, 'BIEN': 4, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 9}",7,36,147,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1886,presidente
13631,,"{'UNE': 23, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 10, 'TODOS': 5, 'VAMOS': 8, 'PHG': 2, 'PR': 0, 'PIN': 1, 'ELEFANTE': 6, 'VICTORIA': 2, 'SEMILLA': 34, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 9, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 22}",7,28,167,0,Sumas Asentadas sin cuadrar,12.San Marcos,7.Tacaná,1886,presidente
13632,,"{'UNE': 14, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 9, 'TODOS': 4, 'VAMOS': 5, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 22, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 6, 'VIVA': 12, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 9}",3,29,128,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1886,presidente
13633,,"{'UNE': 12, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 14, 'TODOS': 4, 'VAMOS': 14, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 6, 'VICTORIA': 3, 'SEMILLA': 14, 'FCN-NACION': 1, 'PPN': 6, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 6, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",10,34,144,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1886,presidente
13634,,"{'UNE': 57, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 4, 'TODOS': 6, 'VAMOS': 13, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 7, 'VICTORIA': 2, 'SEMILLA': 6, 'FCN-NACION': 2, 'PPN': 6, 'UR': 9, 'URNG-MAIZ WINAQ': 8, 'CREO': 5, 'BIEN': 3, 'VIVA': 12, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",23,36,207,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1887,presidente
13635,,"{'UNE': 48, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 8, 'TODOS': 2, 'VAMOS': 3, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 13, 'VICTORIA': 3, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 6, 'CREO': 2, 'BIEN': 6, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",12,29,168,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1887,presidente
13636,,"{'UNE': 24, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 8, 'TODOS': 0, 'VAMOS': 3, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 5, 'VICTORIA': 3, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 4, 'UR': 5, 'URNG-MAIZ WINAQ': 9, 'CREO': 4, 'BIEN': 7, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",12,24,125,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1887,presidente
13637,,"{'UNE': 15, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 4, 'TODOS': 1, 'VAMOS': 6, 'PHG': 0, 'PR': 0, 'PIN': 2, 'ELEFANTE': 4, 'VICTORIA': 1, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 2, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",10,25,98,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1887,presidente
13638,,"{'UNE': 30, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 15, 'TODOS': 4, 'VAMOS': 6, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 5, 'VICTORIA': 5, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 6, 'UR': 1, 'URNG-MAIZ WINAQ': 8, 'CREO': 2, 'BIEN': 5, 'VIVA': 19, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",20,26,169,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1888,presidente
13639,,"{'UNE': 6, 'AZUL': 3, 'VALOR UNIONISTA': 0, 'CABAL': 14, 'TODOS': 9, 'VAMOS': 6, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 2, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 7, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",8,28,116,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1888,presidente
13640,,"{'UNE': 39, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 13, 'TODOS': 4, 'VAMOS': 11, 'PHG': 3, 'PR': 1, 'PIN': 1, 'ELEFANTE': 10, 'VICTORIA': 0, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 5, 'BIEN': 9, 'VIVA': 9, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",32,48,211,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1889,presidente
13641,,"{'UNE': 52, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 31, 'TODOS': 10, 'VAMOS': 13, 'PHG': 0, 'PR': 0, 'PIN': 2, 'ELEFANTE': 10, 'VICTORIA': 2, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 4, 'UR': 4, 'URNG-MAIZ WINAQ': 6, 'CREO': 2, 'BIEN': 9, 'VIVA': 8, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 4}",28,45,248,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1889,presidente
13642,,"{'UNE': 26, 'AZUL': 6, 'VALOR UNIONISTA': 2, 'CABAL': 25, 'TODOS': 3, 'VAMOS': 14, 'PHG': 11, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 2, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 6, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 7, 'BIEN': 8, 'VIVA': 12, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",55,55,254,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1889,presidente
13643,,"{'UNE': 41, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 20, 'TODOS': 2, 'VAMOS': 5, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 7, 'VICTORIA': 0, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 5, 'BIEN': 12, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",19,53,199,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1889,presidente
13644,,"{'UNE': 38, 'AZUL': 2, 'VALOR UNIONISTA': 1, 'CABAL': 16, 'TODOS': 5, 'VAMOS': 8, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 9, 'VICTORIA': 1, 'SEMILLA': 18, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 8, 'BIEN': 4, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",14,66,206,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1889,presidente
13645,,"{'UNE': 19, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 18, 'TODOS': 2, 'VAMOS': 4, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 6, 'VICTORIA': 1, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 3, 'UR': 4, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 2, 'VIVA': 6, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 10}",16,46,157,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1889,presidente
13646,,"{'UNE': 14, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 15, 'TODOS': 4, 'VAMOS': 4, 'PHG': 1, 'PR': 0, 'PIN': 2, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 4, 'BIEN': 2, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",3,27,101,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1889,presidente
13647,,"{'UNE': 13, 'AZUL': 1, 'VALOR UNIONISTA': 0, 'CABAL': 10, 'TODOS': 4, 'VAMOS': 4, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 1, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 4, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",6,23,97,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1889,presidente
13648,,"{'UNE': 28, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 24, 'TODOS': 3, 'VAMOS': 4, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 7, 'VICTORIA': 2, 'SEMILLA': 2, 'FCN-NACION': 1, 'PPN': 5, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 26, 'BIEN': 11, 'VIVA': 4, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 0}",16,23,165,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1890,presidente
13649,,"{'UNE': 36, 'AZUL': 2, 'VALOR UNIONISTA': 7, 'CABAL': 20, 'TODOS': 4, 'VAMOS': 2, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 1, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 7, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 5, 'BIEN': 16, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",22,30,175,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1890,presidente
13650,,"{'UNE': 30, 'AZUL': 2, 'VALOR UNIONISTA': 1, 'CABAL': 9, 'TODOS': 1, 'VAMOS': 1, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 0, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 7, 'BIEN': 4, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",30,26,129,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1890,presidente
13651,,"{'UNE': 13, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 14, 'TODOS': 1, 'VAMOS': 1, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 0, 'SEMILLA': 6, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 11, 'BIEN': 9, 'VIVA': 1, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",16,21,106,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1890,presidente
13652,,"{'UNE': 11, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 18, 'TODOS': 0, 'VAMOS': 2, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 5, 'BIEN': 1, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 0}",12,6,64,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1890,presidente
13653,,"{'UNE': 17, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 2, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 3, 'SEMILLA': 12, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 7, 'BIEN': 1, 'VIVA': 17, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 35}",18,46,185,0,Sumas Asentadas sin cuadrar,12.San Marcos,7.Tacaná,1891,presidente
13654,,"{'UNE': 18, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 7, 'TODOS': 1, 'VAMOS': 2, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 10, 'VICTORIA': 3, 'SEMILLA': 10, 'FCN-NACION': 3, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 0, 'VIVA': 19, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 15}",19,65,181,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1891,presidente
13655,,"{'UNE': 10, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 2, 'TODOS': 0, 'VAMOS': 1, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 3, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 2, 'VIVA': 18, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 27}",11,33,124,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1891,presidente
13656,,"{'UNE': 2, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 4, 'TODOS': 1, 'VAMOS': 4, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 0, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 0, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",3,37,90,0,Sumas Asentadas sin cuadrar,12.San Marcos,7.Tacaná,1891,presidente
13657,,"{'UNE': 30, 'AZUL': 2, 'VALOR UNIONISTA': 7, 'CABAL': 29, 'TODOS': 8, 'VAMOS': 9, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 2, 'FCN-NACION': 1, 'PPN': 5, 'UR': 23, 'URNG-MAIZ WINAQ': 3, 'CREO': 10, 'BIEN': 5, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 2}",22,38,209,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1892,presidente
13658,,"{'UNE': 51, 'AZUL': 0, 'VALOR UNIONISTA': 14, 'CABAL': 25, 'TODOS': 4, 'VAMOS': 8, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 4, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 2, 'UR': 6, 'URNG-MAIZ WINAQ': 5, 'CREO': 4, 'BIEN': 2, 'VIVA': 8, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 0}",24,29,194,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1892,presidente
13659,,"{'UNE': 11, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 16, 'TODOS': 8, 'VAMOS': 5, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 6, 'VICTORIA': 2, 'SEMILLA': 2, 'FCN-NACION': 2, 'PPN': 4, 'UR': 17, 'URNG-MAIZ WINAQ': 8, 'CREO': 8, 'BIEN': 4, 'VIVA': 11, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 2}",24,24,165,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1892,presidente
13660,,"{'UNE': 28, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 25, 'TODOS': 2, 'VAMOS': 5, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 0, 'SEMILLA': 4, 'FCN-NACION': 1, 'PPN': 1, 'UR': 5, 'URNG-MAIZ WINAQ': 8, 'CREO': 6, 'BIEN': 1, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",32,18,152,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1892,presidente
13661,,"{'UNE': 12, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 19, 'TODOS': 2, 'VAMOS': 1, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 1, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 1, 'UR': 6, 'URNG-MAIZ WINAQ': 3, 'CREO': 5, 'BIEN': 1, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",13,18,97,0,Algún campo sin dato,12.San Marcos,7.Tacaná,1892,presidente
